AVG less than VIX,,,,,,,,,,AVG less than VIX,,,,,,,,,AVG more than VIX,,,,,,,
Range < VIX,,,,,,,,,,Range > VIX,,,,,,,,,Range < VIX,,,,,,,
IEF,97.02,23222,4.06,15.44,4.70%,11.38,9.75,,,HYG,81.01,583992,1.64,54.13,3.30%,52.49,27.885,,FXI,38.75,166619,17.04,59.82,24.90%,42.78,38.43
SCHD,31.64,7279,5.83,37.07,13.50%,31.24,21.45,,,JEPQ,58.14,5213,6.29,57.96,15.20%,51.67,32.125,,EWY,143.15,178234,20.93,59.35,53.50%,38.43,40.14
EWJ,91.7,46358,6.8,39.35,22.20%,32.55,23.075,,,VWO,58.79,9365,10.34,57.65,16%,47.31,33.995,,KRE,72.07,66391,21.49,65.3,28.70%,43.82,43.395
VEA,69.68,9628,8.2,35.8,13.40%,27.6,22,,,3,,,,,,,,,XBI,124.72,65875,22.27,63.01,32%,40.74,42.64
TLT,89.36,679331,8.49,30.1,9.90%,21.61,19.295,,,,,,,,,,,,ITB,110.99,7486,24.01,55.58,30.40%,31.57,39.795
RSP,204.4,7873,9.01,49.44,15.60%,40.43,29.225,,,,,,,,,,,,GDX,106.26,300005,28.62,61.59,49.30%,32.97,45.105
EFA,104.77,144747,9.1,36.89,14.70%,27.78,22.995,,,,,,,,,,,,GDXJ,142.04,8195,30.01,69.85,54.20%,39.84,49.93
EEM,62.41,251565,9.67,44.6,21.30%,34.93,27.135,,,,,,,,,,,,URA,54.6,13369,31.06,68.74,55.50%,37.68,49.9
XLP,87.9,54759,10.06,32.42,16.70%,22.36,21.24,,,,,,,,,,,,8,,,,,,,
INDA,53.5,21655,10.42,26.74,15.50%,16.32,18.58,,,,,,,,,,,,,,,,,,,
XLC,117.12,50853,10.67,45.46,16.60%,34.79,28.065,,,,,,,,,,,,,,,,,,,
JNJ,242.7,57939,11.09,39.64,20.60%,28.55,25.365,,,AVG More than VIX,,,,,,,,,,,,,,,,
XLV,156.89,9354,11.3,39.25,15.50%,27.95,25.275,,,Range > VIX,price,Open Int.,min,max,curr,range,avg,,,,,,,,,
XLU,46.36,27864,11.31,37.9,17%,26.6,24.605,,,TQQQ,50.02,439012,38.8,204.06,61.60%,165.26,121.43,,,,,,,,,
O,66.19,8683,11.41,37.1,19.10%,25.69,24.255,,,CRWV,87.9,397851,24.76,185.78,114.90%,161.01,105.27,,,,,,,,,
CORN,17.7,8947,11.59,55.89,17.40%,44.3,33.74,,,ONDS,10.08,340574,19.1,279.28,112.90%,260.17,149.19,,,,,,,,,
XLI,178,16999,11.64,53.8,18.30%,42.15,32.72,,,SMR,13.46,237768,72.94,144.59,114.10%,71.65,108.765,,,,,,,,,
IYR,100.4,13288,11.94,47.29,14.70%,35.35,29.615,,,SILJ,36.33,198130,31.4,94.24,70.30%,62.84,62.82,,,,,,,,,
